"","gdc_file_id","total","alt","sample_id","study","tumor_normal"
"1","f0569eb4-93ad-4ebc-b588-58f4295fac75","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/75/f0569eb4-93ad-4ebc-b588-58f4295fac75/tcga1_in2172_att0/f0569eb4-93ad-4ebc-b588-58f4295fac75!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/75/f0569eb4-93ad-4ebc-b588-58f4295fac75/tcga1_in2172_att0/f0569eb4-93ad-4ebc-b588-58f4295fac75!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-EJ-7115-11A-01R-2118-07","PRAD","normal"
"2","e207cbe9-4c3a-4fdd-9251-cfe1fe106475","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/75/e207cbe9-4c3a-4fdd-9251-cfe1fe106475/tcga1_in2761_att0/e207cbe9-4c3a-4fdd-9251-cfe1fe106475!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/75/e207cbe9-4c3a-4fdd-9251-cfe1fe106475/tcga1_in2761_att0/e207cbe9-4c3a-4fdd-9251-cfe1fe106475!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-L5-A4OQ-11A-12R-A260-31","ESCA","normal"
"3","8a49a3d0-5284-441e-80f7-f1f7f88bbe75","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/75/8a49a3d0-5284-441e-80f7-f1f7f88bbe75/tcga1_in6533_att1/8a49a3d0-5284-441e-80f7-f1f7f88bbe75!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/75/8a49a3d0-5284-441e-80f7-f1f7f88bbe75/tcga1_in6533_att1/8a49a3d0-5284-441e-80f7-f1f7f88bbe75!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-B0-5711-11A-01R-1672-07","KIRC","normal"
"4","dca625fc-2368-4064-b9a5-4eca80c6a375","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/75/dca625fc-2368-4064-b9a5-4eca80c6a375/tcga1_in7248_att1/dca625fc-2368-4064-b9a5-4eca80c6a375!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/75/dca625fc-2368-4064-b9a5-4eca80c6a375/tcga1_in7248_att1/dca625fc-2368-4064-b9a5-4eca80c6a375!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-HU-8238-11A-01R-2343-13","STAD","normal"
"5","bd3c5fd0-9803-4c9f-8a7c-18b514e99c80","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/80/bd3c5fd0-9803-4c9f-8a7c-18b514e99c80/tcga1_in1540_att0/bd3c5fd0-9803-4c9f-8a7c-18b514e99c80!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/80/bd3c5fd0-9803-4c9f-8a7c-18b514e99c80/tcga1_in1540_att0/bd3c5fd0-9803-4c9f-8a7c-18b514e99c80!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-H7-A6C5-11A-11R-A30B-07","HNSC","normal"
"6","5cc8ac1b-c01c-4ad0-940a-5864f1229180","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/80/5cc8ac1b-c01c-4ad0-940a-5864f1229180/tcga1_in3033_att0/5cc8ac1b-c01c-4ad0-940a-5864f1229180!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/80/5cc8ac1b-c01c-4ad0-940a-5864f1229180/tcga1_in3033_att0/5cc8ac1b-c01c-4ad0-940a-5864f1229180!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-BH-A0DG-11A-43R-A12P-07","BRCA","normal"
"7","f3e87fce-f49d-42d6-883b-7bd1a70e2192","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/92/f3e87fce-f49d-42d6-883b-7bd1a70e2192/tcga1_in6019_att1/f3e87fce-f49d-42d6-883b-7bd1a70e2192!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/92/f3e87fce-f49d-42d6-883b-7bd1a70e2192/tcga1_in6019_att1/f3e87fce-f49d-42d6-883b-7bd1a70e2192!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-EL-A3T2-11A-11R-A22L-07","THCA","normal"
"8","a8099400-b1dc-471c-8c6a-95ceadb6869a","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/9a/a8099400-b1dc-471c-8c6a-95ceadb6869a/tcga1_in3981_att0/a8099400-b1dc-471c-8c6a-95ceadb6869a!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/9a/a8099400-b1dc-471c-8c6a-95ceadb6869a/tcga1_in3981_att0/a8099400-b1dc-471c-8c6a-95ceadb6869a!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-A7-A13G-11A-51R-A13Q-07","BRCA","normal"
"9","1002c658-3e4d-4f5a-bcb2-e81193cf209a","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/9a/1002c658-3e4d-4f5a-bcb2-e81193cf209a/tcga1_in3730_att1/1002c658-3e4d-4f5a-bcb2-e81193cf209a!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/9a/1002c658-3e4d-4f5a-bcb2-e81193cf209a/tcga1_in3730_att1/1002c658-3e4d-4f5a-bcb2-e81193cf209a!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-55-6986-11A-01R-1949-07","LUAD","normal"
"10","859c69bb-660b-4408-8466-27e065e866ee","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/ee/859c69bb-660b-4408-8466-27e065e866ee/tcga1_in5424_att1/859c69bb-660b-4408-8466-27e065e866ee!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/ee/859c69bb-660b-4408-8466-27e065e866ee/tcga1_in5424_att1/859c69bb-660b-4408-8466-27e065e866ee!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-34-7107-11A-01R-1949-07","LUSC","normal"
