sample_id,rep_id,total,alt,tissue,individual_id,sample_id_rep,study
GTEX-1117F-0626-SM-5N9CS,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-1117F-0626-SM-5N9CS.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-1117F-0626-SM-5N9CS.1.bamcount_nonref.csv.zst,Artery_Coronary,GTEX-1117F,GTEX-1117F-0626-SM-5N9CS.1,GTEx_Blended_Tissue_Training
GTEX-111CU-0426-SM-5GZY1,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-111CU-0426-SM-5GZY1.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-111CU-0426-SM-5GZY1.1.bamcount_nonref.csv.zst,Spleen,GTEX-111CU,GTEX-111CU-0426-SM-5GZY1.1,GTEx_Blended_Tissue_Training
GTEX-111FC-1426-SM-5N9C7,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-111FC-1426-SM-5N9C7.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-111FC-1426-SM-5N9C7.1.bamcount_nonref.csv.zst,Adipose_Subcutaneous,GTEX-111FC,GTEX-111FC-1426-SM-5N9C7.1,GTEx_Blended_Tissue_Training
GTEX-111VG-2226-SM-5N9DU,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-111VG-2226-SM-5N9DU.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-111VG-2226-SM-5N9DU.1.bamcount_nonref.csv.zst,Colon_Transverse,GTEX-111VG,GTEX-111VG-2226-SM-5N9DU.1,GTEx_Blended_Tissue_Training
GTEX-111YS-2426-SM-5GZZQ,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-111YS-2426-SM-5GZZQ.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-111YS-2426-SM-5GZZQ.1.bamcount_nonref.csv.zst,Adipose_Subcutaneous,GTEX-111YS,GTEX-111YS-2426-SM-5GZZQ.1,GTEx_Blended_Tissue_Training
GTEX-1122O-1026-SM-9WYSF,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-1122O-1026-SM-9WYSF.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-1122O-1026-SM-9WYSF.1.bamcount_nonref.csv.zst,Skin_Not_Sun_Exposed,GTEX-1122O,GTEX-1122O-1026-SM-9WYSF.1,GTEx_Blended_Tissue_Training
GTEX-1128S-2626-SM-5H11Z,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-1128S-2626-SM-5H11Z.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-1128S-2626-SM-5H11Z.1.bamcount_nonref.csv.zst,Pituitary,GTEX-1128S,GTEX-1128S-2626-SM-5H11Z.1,GTEx_Blended_Tissue_Training
GTEX-113IC-0008-SM-5QGRF,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-113IC-0008-SM-5QGRF.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-113IC-0008-SM-5QGRF.1.bamcount_nonref.csv.zst,Cells_Cultured_fibroblasts,GTEX-113IC,GTEX-113IC-0008-SM-5QGRF.1,GTEx_Blended_Tissue_Training
GTEX-113JC-2326-SM-5EQ4E,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-113JC-2326-SM-5EQ4E.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-113JC-2326-SM-5EQ4E.1.bamcount_nonref.csv.zst,Skin_Sun_Exposed,GTEX-113JC,GTEX-113JC-2326-SM-5EQ4E.1,GTEx_Blended_Tissue_Training
GTEX-117XS-3026-SM-5N9CA,1,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/bigwigs/GTEX-117XS-3026-SM-5N9CA.1.all.bw,/dcl02/lieber/ajaffe/recount-pump/gtex_monorail_output/alts/GTEX-117XS-3026-SM-5N9CA.1.bamcount_nonref.csv.zst,Brain_Cortex,GTEX-117XS,GTEX-117XS-3026-SM-5N9CA.1,GTEx_Blended_Tissue_Training
