sample_id,total,alt,study,sample_id_rep,individual_id
ERR188482,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/82/ERR188482/sra_human_v3_21_in2212_att0/ERR188482!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/82/ERR188482/sra_human_v3_21_in2212_att0/ERR188482!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188482,HG00308
ERR188082,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/82/ERR188082/sra_human_v3_21_in1812_att0/ERR188082!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/82/ERR188082/sra_human_v3_21_in1812_att0/ERR188082!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188082,HG00110
ERR188182,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/82/ERR188182/sra_human_v3_21_in1912_att0/ERR188182!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/82/ERR188182/sra_human_v3_21_in1912_att0/ERR188182!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188182,NA18912
ERR188382,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/82/ERR188382/sra_human_v3_21_in2112_att0/ERR188382!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/82/ERR188382/sra_human_v3_21_in2112_att0/ERR188382!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188382,NA20536
ERR188282,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/82/ERR188282/sra_human_v3_21_in2012_att0/ERR188282!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/82/ERR188282/sra_human_v3_21_in2012_att0/ERR188282!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188282,NA20809
ERR188188,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/88/ERR188188/sra_human_v3_21_in1918_att0/ERR188188!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/88/ERR188188/sra_human_v3_21_in1918_att0/ERR188188!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188188,NA19099
ERR188088,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/88/ERR188088/sra_human_v3_21_in1818_att0/ERR188088!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/88/ERR188088/sra_human_v3_21_in1818_att0/ERR188088!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188088,NA20504
ERR188288,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/88/ERR188288/sra_human_v3_21_in2018_att0/ERR188288!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/88/ERR188288/sra_human_v3_21_in2018_att0/ERR188288!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188288,NA20507
ERR188388,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/88/ERR188388/sra_human_v3_21_in2118_att0/ERR188388!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/88/ERR188388/sra_human_v3_21_in2118_att0/ERR188388!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188388,NA12341
ERR188166,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/66/ERR188166/sra_human_v3_21_in1896_att0/ERR188166!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/66/ERR188166/sra_human_v3_21_in1896_att0/ERR188166!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188166,HG00108
